frase,rotulo
Paciente apresenta dor intensa no peito com confusão e fraqueza. Há grande desconforto no momento.,alto risco
"Paciente apresenta aperto torácico discreto leve após esforço habitual, com recuperação rápida em repouso. Não há piora progressiva.",baixo risco
"Paciente apresenta mal-estar passageiro leve após esforço habitual, com recuperação rápida em repouso. Não houve desmaio.",baixo risco
"Paciente relata mal-estar passageiro esporádico e de curta duração, sem limitação funcional. Não houve desmaio.",baixo risco
"Paciente apresenta mal-estar passageiro ocasional, com melhora espontânea após poucos minutos. O paciente permanece em bom estado geral.",baixo risco
"Paciente relata pressão forte no peito, falta de ar importante e sensação de mal-estar. O sintoma começou há poucos minutos.",alto risco
"Paciente relata cansaço após subir escadas leve e passageiro, sem piora nas atividades habituais.",baixo risco
Paciente sente palpitações intensas acompanhadas de náusea e suor frio. O quadro piorou rapidamente.,alto risco
Paciente sente palpitações intensas acompanhadas de suor frio. Há grande desconforto no momento.,alto risco
"Paciente percebe sensação de coração acelerado de baixa intensidade, sem outros sintomas associados. O paciente permanece em bom estado geral.",baixo risco
Paciente relata dor torácica súbita com sensação de desmaio. O quadro piorou rapidamente.,alto risco
"Paciente relata falta de ar leve ao esforço esporádico e de curta duração, sem limitação funcional. Não houve desmaio.",baixo risco
"Paciente relata cansaço esporádico e de curta duração, sem limitação funcional.",baixo risco
Paciente apresenta dor intensa no peito com suor frio. O quadro piorou rapidamente.,alto risco
Paciente relata dor torácica súbita com dor irradiando para a mandíbula.,alto risco
"Paciente refere sensação de coração acelerado discreto após um dia cansativo, mantendo as atividades normalmente. O paciente permanece em bom estado geral.",baixo risco
"Paciente relata aperto torácico discreto leve e passageiro, sem piora nas atividades habituais.",baixo risco
"Paciente relata desconforto torácico discreto esporádico e de curta duração, sem limitação funcional.",baixo risco
"Paciente apresenta palpitação isolada leve após esforço habitual, com recuperação rápida em repouso. Não houve desmaio.",baixo risco
"Paciente percebe fraqueza leve de baixa intensidade, sem outros sintomas associados. O paciente permanece em bom estado geral.",baixo risco
"Paciente relata pressão forte no peito, fraqueza súbita e sensação de mal-estar. O sintoma começou há poucos minutos.",alto risco
"Paciente relata pressão forte no peito, náusea e suor frio e sensação de mal-estar. Há grande desconforto no momento.",alto risco
Paciente apresenta dor intensa no peito com náusea e suor frio. Há grande desconforto no momento.,alto risco
"Paciente relata desconforto torácico discreto leve e passageiro, sem piora nas atividades habituais. Não houve desmaio.",baixo risco
"Paciente apresenta respiração ofegante após caminhada leve após esforço habitual, com recuperação rápida em repouso. O paciente permanece em bom estado geral.",baixo risco
"Paciente relata cansaço esporádico e de curta duração, sem limitação funcional. Não há piora progressiva.",baixo risco
"Paciente apresenta fraqueza leve ocasional, com melhora espontânea após poucos minutos. O paciente permanece em bom estado geral.",baixo risco
"Paciente apresenta respiração ofegante após caminhada leve após esforço habitual, com recuperação rápida em repouso. Não há piora progressiva.",baixo risco
Paciente apresenta falta de ar em repouso associada a dificuldade para respirar. O sintoma começou há poucos minutos.,alto risco
Paciente apresenta dor intensa no peito com dor irradiando para a mandíbula. O quadro piorou rapidamente.,alto risco
"Paciente refere desconforto torácico discreto discreto após um dia cansativo, mantendo as atividades normalmente. Não há piora progressiva.",baixo risco
"Paciente relata fraqueza leve leve e passageiro, sem piora nas atividades habituais.",baixo risco
Paciente sente palpitações intensas acompanhadas de náusea e suor frio.,alto risco
"Paciente relata pressão forte no peito, fraqueza súbita e sensação de mal-estar. O quadro piorou rapidamente.",alto risco
Paciente apresenta dor intensa no peito com irradiação para o braço esquerdo.,alto risco
"Paciente apresenta mal-estar passageiro leve após esforço habitual, com recuperação rápida em repouso. Não há piora progressiva.",baixo risco
"Paciente relata pressão forte no peito, sensação de desmaio e sensação de mal-estar. O quadro piorou rapidamente.",alto risco
Paciente relata dor torácica súbita com suor frio.,alto risco
Paciente apresenta falta de ar em repouso associada a dor irradiando para a mandíbula. O sintoma começou há poucos minutos.,alto risco
Paciente apresenta falta de ar em repouso associada a tontura intensa.,alto risco
"Paciente relata cansaço após subir escadas esporádico e de curta duração, sem limitação funcional. O paciente permanece em bom estado geral.",baixo risco
Paciente apresenta dor intensa no peito com dor irradiando para a mandíbula.,alto risco
"Paciente relata pressão forte no peito, dificuldade para respirar e sensação de mal-estar. O sintoma começou há poucos minutos.",alto risco
"Paciente percebe dor de cabeça leve de baixa intensidade, sem outros sintomas associados.",baixo risco
"Paciente percebe mal-estar passageiro de baixa intensidade, sem outros sintomas associados. O paciente permanece em bom estado geral.",baixo risco
Paciente teve desmaio e agora relata dificuldade para respirar.,alto risco
"Paciente apresenta cansaço ocasional, com melhora espontânea após poucos minutos.",baixo risco
"Paciente relata dor de cabeça leve leve e passageiro, sem piora nas atividades habituais.",baixo risco
"Paciente apresenta sensação de coração acelerado ocasional, com melhora espontânea após poucos minutos.",baixo risco
"Paciente relata palpitação isolada leve e passageiro, sem piora nas atividades habituais. O paciente permanece em bom estado geral.",baixo risco
"Paciente relata respiração ofegante após caminhada leve e passageiro, sem piora nas atividades habituais. O paciente permanece em bom estado geral.",baixo risco
Paciente sente palpitações intensas acompanhadas de confusão e fraqueza. O sintoma começou há poucos minutos.,alto risco
Paciente relata dor torácica súbita com sensação de desmaio. Há grande desconforto no momento.,alto risco
"Paciente relata pressão forte no peito, falta de ar importante e sensação de mal-estar.",alto risco
"Paciente relata pressão forte no peito, náusea e suor frio e sensação de mal-estar.",alto risco
"Paciente relata sensação de coração acelerado leve e passageiro, sem piora nas atividades habituais. Não há piora progressiva.",baixo risco
"Paciente relata pressão forte no peito, confusão e fraqueza e sensação de mal-estar. O quadro piorou rapidamente.",alto risco
"Paciente relata pressão forte no peito, fraqueza súbita e sensação de mal-estar.",alto risco
